time,open,high,low,close,T3
1725645600,540.65,540.85,539.93,539.99,540.0602479662957
1725645900,539.99,540.2,539.84,540.01,539.9595471629109
1725646200,540.01,540.39,539.91,540.0743,539.8665318398462
1725646500,540.09,540.34,539.74,539.8481,539.7804234820437
1725646800,539.87,540.17,539.54,539.63,539.7003215250002
1725647100,539.62,540.08,539.44,539.99,539.6259522079417
1725647400,540,540.27,539.62,539.81,539.5568584157704
1725647700,539.8101,539.9,539.55,539.815,539.4926750627947
1725648000,539.84,540.33,539.72,540.3,539.4336941521601
1725648300,540.308,540.31,539.75,540.1573,539.3799271960065
1725648600,540.15,540.25,539.71,540.25,539.3314543376464
1725648900,540.24,540.65,540.15,540.45,539.2885303320954
1725649200,540.45,541.07,540.4,540.9777,539.2519282788221
1725649500,540.95,541.34,540.86,541.21,539.2224275317872
1725649800,541.21,541.43,540.86,541.1,539.2003689730759
1725650100,541.11,541.32,540.86,540.93,539.1856730071113
1725650400,540.94,541.45,540.94,541.38,539.1786909341208
1725650700,541.385,541.88,541.292,541.33,539.1794740337555
1725651000,541.33,541.39,540.92,540.92,539.187399196649
1725651300,540.92,541.05,540.215,540.36,539.2011587496477
1725651600,540.37,540.73,540.2,540.34,539.2196103660467
1725651900,540.35,541.45,540.31,541.3,539.2429514288874
1725652200,541.33,541.7,539.86,540.31,539.2700074443183
1725652500,540.3,540.54,539.67,540.43,539.2999427437476
1725888600,544.65,545.16,544.06,545.01,539.3376216834181
1725888900,545.03,545.27,544.78,545.04,539.3865491523025
1725889200,545.03,545.1,544.485,544.665,539.448613406742
1725889500,544.67,544.92,544.37,544.67,539.5248845177202
1725889800,544.67,545.33,544.5,545.05,539.6162299761718
1725890100,545.09,545.49,545.02,545.3,539.723168996526
1725890400,545.3,545.52,545.2,545.36,539.8456973508191
1725890700,545.35,545.66,545.14,545.5601,539.9835694531016
1725891000,545.59,546.39,545.59,546.04,540.1366874168216
1725891300,546.045,546.2495,545.33,545.46,540.303760947344
1725891600,545.47,545.67,544.6912,544.95,540.4827005766856
1725891900,544.94,545.12,544.69,544.73,540.6712037717316
1725892200,544.72,544.7701,543.94,544.18,540.866450445259
1725892500,544.18,544.488,543.84,544.12,541.0658862693795
1725892800,544.1,544.2295,543.695,543.78,541.2668732192074
1725893100,543.76,544.18,543.62,544.1501,541.4676352511428
1725893400,544.155,544.4,543.925,544.2,541.6666994648581
1725893700,544.18,544.43,543.31,543.31,541.861714102351
1725894000,543.33,543.8899,543.08,543.5302,542.0510745664419
1725894300,543.54,543.99,543.3601,543.62,542.233625065513
1725894600,543.615,543.615,542.8239,542.95,542.4076576892885
1725894900,542.91,543.04,542.68,542.93,542.5718874085051
1725895200,542.93,543.53,542.83,543.53,542.7261429269215
1725895500,543.49,544.2699,543.32,544.2,542.871192269492
1725895800,544.23,545.1,544.14,544.87,543.0085024095938
1725896100,544.88,545.31,544.73,545.31,543.1397595110348
1725896400,545.28,545.44,545.15,545.275,543.2662015681135
1725896700,545.32,545.81,545.22,545.77,543.3893472041641
1725897000,545.76,545.93,545.5125,545.88,543.5104242399493
1725897300,545.86,545.99,545.81,545.99,543.630412590303
1725897600,545.98,546.6,545.76,546.39,543.7504346511282
1725897900,546.4,546.47,545.98,546.27,543.8710598181533
1725898200,546.28,546.54,546.18,546.25,543.9925466876894
1725898500,546.2317,546.66,546.2,546.63,544.1153983397339
1725898800,546.61,546.73,546.44,546.62,544.2398138385456
1725899100,546.62,547,546.53,546.89,544.3660965833483
1725899400,546.9001,547.12,546.83,547.09,544.4945339079109
1725899700,547.08,547.33,546.77,547.03,544.6250750471409
1725900000,547.03,547.58,547.015,547.3211,544.7578398939386
1725900300,547.35,547.6,547.3135,547.3508,544.8927535384923
1725900600,547.3638,547.61,547.36,547.4205,545.0296418857438
1725900900,547.42,547.68,547.3701,547.49,545.1682575200534
1725901200,547.485,547.67,547.2,547.41,545.3081195733193
1725901500,547.42,547.71,547.38,547.65,545.4489703090212
1725901800,547.66,547.68,547.34,547.3805,545.5901052920385
1725902100,547.38,547.61,547.2202,547.46,545.7309238762814
1725902400,547.44,547.465,547.14,547.19,545.8704929504001
1725902700,547.21,547.44,547.21,547.33,546.0081507915647
1725903000,547.32,547.32,546.55,546.72,546.1425454884256
1725903300,546.71,547.2441,546.5801,547.145,546.2730991948201
1725903600,547.145,547.33,545.985,546.01,546.3979376777093
1725903900,546.02,546.7,545.84,546.61,546.516370055956
1725904200,546.6,546.601,546.24,546.26,546.6274658453567
1725904500,546.25,546.35,545.575,545.7401,546.7299365593867
1725904800,545.74,545.85,545.19,545.2701,546.8223238160263
1725905100,545.28,545.38,545.0401,545.26,546.9036459709491
1725905400,545.26,545.33,545.02,545.031,546.9730498203658
1725905700,545.03,545.54,544.9,545.38,547.0305151754633
1725906000,545.4215,545.46,544.98,545.37,547.0762265037238
1725906300,545.38,545.645,544.904,544.9698,547.1100553826623
1725906600,544.96,545.23,544.67,545.16,547.1323708177238
1725906900,545.1699,545.25,544.18,544.36,547.1427152649126
1725907200,544.36,545.36,544.2501,545.26,547.1420992683088
1725907500,545.27,545.42,545.16,545.3,547.1315822618885
1725907800,545.27,545.51,545.05,545.17,547.1120383866496
1725908100,545.14,545.3,544.99,545.11,547.0842754000296
1725908400,545.07,545.0899,544.63,544.65,547.0485533580372
1725908700,544.63,545.28,544.615,545.185,547.0059318746198
1725909000,545.205,545.205,544.75,544.84,546.9569852804611
1725909300,544.85,545.23,544.84,544.87,546.9023708956806
